image_file,main_category,sub_category,dataset
2702301400041269896_jpg.rf.a3e7d216f9568d654149005ba9b90368.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2776541157006847667_jpg.rf.a3b02e3fd7bd20ebdda7c5522772cb2f.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_0221_JPG_jpg.rf.a2cd9012a9829754be4ffc5db7a5b707.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180723_145651_jpg.rf.a3bfe0dddf3ab39042122e379a46bbee.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180723_144902_jpg.rf.a38fc97e2c5be5298978f4d55b927d04.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
images-2024-07-07T003757-687_jpg.rf.a74eda84b3596aa3a7dc5cc7848bf136.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
images-96-_jpg.rf.a4381a21a701f69796fca0981234bcce.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180725_121400_jpg.rf.a7a2727974be17f822457142594409be.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2776658420928084111_jpg.rf.a34ba5951f0ff939f87e0bfe3d2b1e2a.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180720_142708_jpg.rf.a41750a1d4b8b302287b7864e4cb5dc2.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2739395590175882784_jpg.rf.a6f9596b84f0561de9ce1b313c6d5a94.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180717_105052_jpg.rf.a6fd97c07301ae8d0b752bb7e5ff031e.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
image_359_jpg.rf.a3e7c8b1983068f2c45666f91e3a3368.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2754490433410209392_jpg.rf.a7f6c833c31bc95cafff56fa339f193e.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180724_121053_jpg.rf.a404706525769720dded85f371276bba.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180717_122754_jpg.rf.a47df5debe1c04332f71b8bd83c6577a.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
images-2024-07-07T003752-385_jpg.rf.a85f5778d42ec2238911b8dfc26f0912.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_0057_JPG_jpg.rf.a92d93c99bca2a13332b2648baf29248.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
images-2024-07-07T003812-287_jpg.rf.a9837fd308cb2f9e971fe1498a15c8b3.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180723_124338_jpg.rf.a9e63374c75ca7a6a425c7b5234e384a.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
vandalisme-di-masjid-virginia-as-_150715132805-300_jpg.rf.a981661ccb9428aa9a6236893c18bc7e.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180714_102404_jpg.rf.a87cbeb9cbae23a0baf9fa1f9c7d8891.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180723_122833_jpg.rf.a9c0e4117298864977f9a0aed63f7033.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180723_144845_jpg.rf.aa718a6adb838484e8f7113d083c05e9.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2754047678947224056_jpg.rf.a3f63cb9df05778d9304d9c1e503e3e4.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2775455152296737035_jpg.rf.a817d882d08a8118fe9fa58aa2f25b6e.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180726_122306_jpg.rf.a3a4908b96030163ebe2c59fe3cbe51c.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180723_145350_jpg.rf.ab20dd52aa89f2e3ab5f2119f0cac483.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
Menjadi-Indonesia-sebuah-pencarian-narasi-mengikis-vandalisme-pada-generasi-muda_jpg.rf.abb4b6bea2100d5129cac0a2a8af94a3.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
images-2024-07-07T003757-171_jpg.rf.aa06f551e2bf70f4d9c5a32975469361.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_0166_JPG_jpg.rf.aac2cec9de752284c5b7e35c7141a5f9.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2775444816046891615_jpg.rf.abdc8fc125c4b97636fca01719ebbe40.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_0204_JPG_jpg.rf.abbf8b373c80c8ec3b6a3c2989093456.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_1238_jpg.rf.ab851e8fcca710f2cfbd694c8b8b1224.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2708605274998834056_jpg.rf.abc3ceb0cc913699e8feb8b729287c93.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20100101_033101_jpg.rf.a580cfdd3b24c438aa6d6f33bda0d843.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2701685251853398160_jpg.rf.ac078e390c8ea0cf33a4ef99cff7f0df.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180724_123732_jpg.rf.abe23704d7fc45b46b3519e6c1c342f7.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20100101_032744_jpg.rf.abb298e9a55d0eb1dd4c0783b2742f6d.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180726_123013_jpg.rf.ac4ec0ac4cfea429e1e8c2ba80a35c37.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180724_150041_jpg.rf.ac32e74cdfca7daca7e85e3e8cc10247.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2704851591751901608_jpg.rf.a55ac5912b99982d4d70ac9ff997d09a.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180720_124214_jpg.rf.ab896bc99cf071ea2e4b5819677ec7be.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
images-90-_jpg.rf.abfbc13688a1db31357e40a7e655f4b0.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_0212_JPG_jpg.rf.a4bdce748af901ebe0ce0f7f7c407fea.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_0037_JPG_jpg.rf.adaed244f74373eba571d58df1e58fdd.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2776777887149446300_jpg.rf.ab6bd58b57a99eacd25a0995190f627f.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180810_092230_jpg.rf.ac71341753764461e17897b97a393e0b.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
1490336400681-Vandalisme_jpeg_jpg.rf.ace8dbad0ef044fdf4ce530ea21abdcb.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2740240580758276729_jpg.rf.acc5792dd261cdf430d671dbd0d68148.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180724_124526_jpg.rf.ad41af3db239a47adf3ec5a8fe7e6abb.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
images-2024-07-07T003804-010_jpg.rf.ae2e0b03e90da775b7a5ecafae7627ac.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180810_093037_jpg.rf.ad3634c5e33b095608ebc6821423d977.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2765164646576355335_jpg.rf.a58c1ed9cac2d5e97e13888618e257bb.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
graffiti-8171250_640_jpg.rf.ad0a3663308afc13bd89230cc707d3bb.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180724_121924_jpg.rf.add5c323d91e0126cdda64e35f6be7df.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
image_607_jpg.rf.adc54040af7af35ee85b02d72a7a3494.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2754922940661697638_jpg.rf.aea69477eb0a67a3a806dead87bc3a20.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20100101_031404_jpg.rf.ae61193de1a470d4f4cd4f424493040b.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
image_528_jpg.rf.ad81e74cd518415c018ff314068cf699.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
images-31-_jpg.rf.ae16313bac84f2a2959ecb699e8fe89d.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
IMG_20180723_123726_jpg.rf.ae70d535f34a348e27412e65f4b49e37.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2690185293980378173_jpg.rf.ae8579c2299317ddb9752a3a6552af51.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2703226724524610292_jpg.rf.a5340242a04c3ebb1816fb183b3e86cb.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
images-2024-07-07T003753-192_jpg.rf.ae62700aacdcea04523b563227709484.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
antarafoto-aksi-vandalisme-gerbong-mrt-210918-ho-1_jpg.rf.ad00bd4f269b4e3322eb1aa13ff0d227.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
2703226724524610292_jpg.rf.ae844cc03a311a9bc0d96b63161466f1.jpg,Public Cleanliness & Public Property Damage,Vandalism,graffitti_labels
